學院	學系	排除學群之科目
藝術學院	(日)景觀	未設定排除科目！
藝術學院	(日)應美	自然與科技領域(NT)	人文與藝術領域(PT)	社會科學領域(ST)	永續素養領域(DT)
資訊科技學群-數位攝影與影像處理(DNTI800443A)
資訊科技學群-數位攝影與影像處理(DNTI800443B)	生活藝術學群-生活色彩學(DPTF834175)
生活藝術學群-室內設計與家具欣賞(DPTF817992)
生活藝術學群-建築設計欣賞及設備介紹(DPTF800811)
生活藝術學群-美感經驗與品味(DPTF833851)
生活藝術學群-現代藝術與生活(DPTF800760)
視覺藝術學群-數位攝影藝術(DPTV800622)
視覺藝術學群-現代藝術欣賞(DPTV806134)
視覺藝術學群-現代數位攝影賞析(DPTV800670)
視覺藝術學群-書法藝術與造形創意(DPTV800758)
視覺藝術學群-西洋藝術流派與風格解析(DPTV800757)
視覺藝術學群-西洋藝術鑑賞(DPTV800623)
視覺藝術學群-宗教與跨藝術研究(DPTV800554)
視覺藝術學群-美學與鑑賞(DPTV809897)
視覺藝術學群-藝術與文化(DPTV800588)		永續多元學群-環境藝術與生活(DDTV800894)
			

藝術學院	(日)音樂	自然與科技領域(NT)	人文與藝術領域(PT)	社會科學領域(ST)	永續素養領域(DT)
	生活藝術學群-音樂與人生(DPTF800437)
表演藝術學群-歌劇鑑賞(DPTP800518A)		
			

文學院	(日)社創學程	未設定排除科目！
文學院	(日)哲學	自然與科技領域(NT)	人文與藝術領域(PT)	社會科學領域(ST)	永續素養領域(DT)
	哲學學群-人文學概論(DPTY800193)
哲學學群-古希臘的人文精神(DPTY824707)
哲學學群-易經與人生(DPTY806669A)
哲學學群-近代歐洲哲學思想(DPTY800951)
哲學學群-哲學概論(DPTY800006)
哲學學群-電影反思與敘事力(DPTY836883)
哲學學群-邏輯與批判性思維(DPTY832273)		
			

文學院	(日)歷史	自然與科技領域(NT)	人文與藝術領域(PT)	社會科學領域(ST)	永續素養領域(DT)
NT歷史與文化學群-台灣醫療與社會(DNTT800818)
NT歷史與文化學群-科學與社會：歷史脈絡(DNTT836053)	PT歷史與文化學群-二十世紀的音樂與文化思潮(DPTT830182)
PT歷史與文化學群-中世紀歐洲騎士文化(DPTT800701)
PT歷史與文化學群-中國文化史(DPTT800019)
PT歷史與文化學群-文藝復興時代(DPTT818378)
PT歷史與文化學群-世界古文明(DPTT800700)
PT歷史與文化學群-古代世界文化巡禮(DPTT800694A)
PT歷史與文化學群-台灣史蹟與歷史(DPTT800952)
PT歷史與文化學群-台灣社會與文化(DPTT809867)
PT歷史與文化學群-台灣開發史(DPTT809827)
PT歷史與文化學群-近代中國人物評析(DPTT800686)
PT歷史與文化學群-近代中國的變遷(DPTT800687A)
PT歷史與文化學群-近代中國的變遷(DPTT800687B)
PT歷史與文化學群-近代西方文明的脈動(DPTT818885)
PT歷史與文化學群-近代歐洲社會的中產階級(DPTT816763)
PT歷史與文化學群-從電影看美國歷史(DPTT836078)
PT歷史與文化學群-經營博物館典藏與展覽實務(DPTT830554)
PT歷史與文化學群-臺灣文化的發展(DPTT822471A)
PT歷史與文化學群-臺灣文化的發展(DPTT822471B)
PT歷史與文化學群-臺灣歌謠社會文化史(DPTT816265)
PT歷史與文化學群-儒學與中國社會(DPTT800708)
PT歷史與文化學群-歷史與傳說(DPTT822472)	ST歷史與文化學群-中東當代史(DSTT824690)
ST歷史與文化學群-日本社會與文化(DSTT824688)
ST歷史與文化學群-日本新宗教與文化(DSTT809758)
ST歷史與文化學群-台灣原住民歷史與文化(DSTT800804)
ST歷史與文化學群-兩岸關係史(DSTT818457)
ST歷史與文化學群-南島語族語言及文化(DSTT832681)
ST歷史與文化學群-英國風土民情(DSTT800699A)
ST歷史與文化學群-當代東亞國際關係史(DSTT835140)
ST歷史與文化學群-當代美國與東亞關係史(DSTT836093)
ST歷史與文化學群-義大利文化(DSTT810855)
ST歷史與文化學群-臺灣歷史文化與地緣價值(DSTT816761)
ST歷史與文化學群-歐洲飲食文化史(DSTT822474)	永續多元學群-中國后妃政治(DDTV800709)
永續多元學群-婦女與歷史(DDTV816788)
			

文學院	(日)中文	自然與科技領域(NT)	人文與藝術領域(PT)	社會科學領域(ST)	永續素養領域(DT)
	視覺藝術學群-中國書法入門(DPTV804456)
視覺藝術學群-書法藝術與造形創意(DPTV800758)
文學學群-中國小說與文化(DPTX807441)
文學學群-中國古典詩詞鑒賞與吟唱(DPTX800802)
哲學學群-易經與人生(DPTY806669A)		
			

醫學院	(日)呼吸治療系	自然與科技領域(NT)	人文與藝術領域(PT)	社會科學領域(ST)	永續素養領域(DT)
醫學類學群-人體生理學概論(DNTD835280)
醫學類學群-人體的奧秘(DNTD812243A)
醫學類學群-人體的奧秘(DNTD812243B)
醫學類學群-人體的奧秘(DNTD812243C)
醫學類學群-人體骨骼肌肉的構造與功能(DNTD836103)
醫學類學群-人體探索(DNTD814915)
醫學類學群-疾病檢查與診斷(DNTD811679)
醫學類學群-身體不思議(DNTD835591)
醫學類學群-健康與生活(DNTD804133A)
